"participant_id","ses-06A","ses-04A","ses-02A","ses-08A"
"sub-00CY2MDM","keep","keep","keep","-"
"sub-00UMK5VC","keep","-","keep","-"
"sub-00X2TBWJ","keep","keep","keep","keep"
"sub-019DXLU4","keep","keep","keep","-"
"sub-01D03VR7","keep","-","keep","keep"
"sub-01EN91PG","keep","keep","keep","keep"
"sub-01NAYMZH","keep","keep","keep","-"
"sub-01RGTWD2","keep","keep","keep","-"
"sub-021N0FLH","keep","keep","keep","-"
"sub-028D3ELL","keep","keep","keep","-"
"sub-02EBX0JJ","keep","keep","keep","keep"
"sub-02UVMTY7","keep","keep","keep","keep"
"sub-02WP3TP6","keep","keep","keep","-"
"sub-030W95VP","keep","keep","keep","keep"
"sub-0387TP8R","keep","-","keep","-"
"sub-03KMHMJJ","keep","-","keep","-"
"sub-03YU08FA","keep","keep","keep","-"
"sub-042UJKFB","keep","-","keep","keep"
"sub-04YC4RXD","keep","keep","keep","-"
"sub-05CA3VX5","keep","keep","keep","-"
"sub-05X0LM1N","keep","-","keep","-"
"sub-06DE9Y0L","keep","keep","keep","keep"
"sub-06DJHEV0","keep","keep","keep","-"
"sub-06DP74KL","keep","keep","keep","-"
"sub-06WHVUPX","keep","keep","keep","-"
"sub-07BR8GMY","keep","keep","keep","-"
"sub-07HGA3B7","keep","keep","keep","-"
"sub-07XG8391","keep","keep","keep","-"
"sub-086114AT","keep","-","keep","-"
"sub-08DNLREC","keep","keep","keep","-"
"sub-08EFDKZ6","keep","keep","keep","-"
"sub-08GBDG8X","keep","keep","keep","-"
"sub-08P3GNDV","keep","-","keep","keep"
"sub-08WDFUCE","keep","keep","keep","-"
"sub-097LUBWX","keep","-","keep","-"
"sub-09AKV10T","keep","keep","keep","-"
"sub-09AUXBBT","keep","-","keep","-"
"sub-09N9CRAL","keep","keep","keep","-"
"sub-09T2EBX4","keep","keep","keep","keep"
"sub-09VBPCLU","keep","keep","keep","-"
"sub-0A4P0LWM","keep","keep","keep","-"
"sub-0A9K5L4R","keep","keep","keep","keep"
"sub-0AHJHA5D","keep","-","keep","keep"
"sub-0AZFZ65C","keep","keep","keep","-"
"sub-0B7UGM1D","keep","keep","keep","keep"
"sub-0BAVEL0T","keep","keep","keep","-"
"sub-0CBFTKR7","keep","keep","keep","-"
"sub-0CBPKF6W","keep","-","keep","-"
"sub-0CFR33F0","keep","keep","keep","-"
"sub-0DBRJXKG","keep","keep","keep","keep"
"sub-0DG8XR2P","keep","-","keep","keep"
"sub-0DJJP33V","keep","-","keep","-"
"sub-0E1RBR9J","keep","-","keep","-"
"sub-0E4CT74P","keep","-","keep","-"
"sub-0F3UJ9CT","keep","keep","keep","keep"
