similarity,name,label,study,domain,sub_domain,source,metric,atlas,table_name,table_label,instruction,header,note,unit,type_var,type_data,type_level,type_field,order_display,branching_logic,label_es,instruction_es,header_es,note_es,table_nda,table_nda_5_0,table_redcap,name_nda,name_deap,name_redcap,name_redcap_exp,url_table,url_warn_use,url_warn_data,url_table_warn_use,url_table_warn_data,url_docs_score,name_short,name_stata,identifier_columns,image_assessment,image_brain,json_brain,order_sort
0.628,mh_y_ksads__dep__unspec__pres_dx,Diagnosis: Unspecified depressive disorder (F32.9) - Present [Youth],Core,Mental Health,Mood,Youth,,,mh_y_ksads__dep,KSADS - Depressive Disorders [Youth],,,,,summary score,character,nominal,,,,,,,,abcd_ksad501,mh_y_ksads_ss,,ksads_1_846_t,,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_y_ksads,,,,,,mh_y_ksads__dep__unspec__pres_dx,mh_y_ksads_dep_0049,participant_id | session_id,,,,49
0.607,mh_y_ksads__dep__unspec__past_dx,Diagnosis: Unspecified depressive disorder (F32.9) - Past [Youth],Core,Mental Health,Mood,Youth,,,mh_y_ksads__dep,KSADS - Depressive Disorders [Youth],,,,,summary score,character,nominal,,,,,,,,abcd_ksad501,mh_y_ksads_ss,,ksads_1_847_t,,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_y_ksads,,,,,,mh_y_ksads__dep__unspec__past_dx,mh_y_ksads_dep_0048,participant_id | session_id,,,,48
0.59,mh_p_ksads__dep__unspec__pres_dx,Diagnosis: Unspecified depressive disorder (F32.9) - Present [Parent],Core,Mental Health,Mood,Parent,,,mh_p_ksads__dep,KSADS - Depressive Disorders [Parent],,,,,summary score,character,nominal,,,,,,,,abcd_ksad01,mh_p_ksads_ss,,ksads_1_846_p,,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__dep__unspec__pres_dx,mh_p_ksads_dep_0049,participant_id | session_id,,,,49
0.571,mh_y_ksads__bpd__bpd2__rcnt__hypomix__pres_dx,"Diagnosis: Bipolar II disorder, most recent episode hypomanic/depressed/mixed (F31.81) - Present [Youth]",Core,Mental Health,Mood,Youth,,,mh_y_ksads__bpd,KSADS - Bipolar Disorders [Youth],,,,,summary score,character,nominal,,,,,,,,ksads2daic_use_only01,mh_y_ksads_ss,,ksads2_2_802_t,ksads2_2_802_y,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_y_ksads,,,,,,mh_y_ksads__bpd__bpd2__rcnt__hypomix__pres_dx,mh_y_ksads_bpd_0056,participant_id | session_id,,,,56
0.566,mh_y_ksads__dep__pdd__oth__pres_dx,"Diagnosis: Other specified depressive disorder, persistent depressive disorder (impairment does not meet full criteria) (F32.8) - Present [Youth]",Core,Mental Health,Mood,Youth,,,mh_y_ksads__dep,KSADS - Depressive Disorders [Youth],,,,,summary score,character,nominal,,,,,,,,ksads2daic_use_only01,mh_y_ksads_ss,,ksads2_1_797_t,ksads2_1_797_y,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_y_ksads,,,,,,mh_y_ksads__dep__pdd__oth__pres_dx,mh_y_ksads_dep_0047,participant_id | session_id,,,,47
0.564,mh_y_ksads__dep__mdd__pres_dx,Diagnosis: Major depressive disorder - Present [Youth],Core,Mental Health,Mood,Youth,,,mh_y_ksads__dep,KSADS - Depressive Disorders [Youth],,,,,summary score,character,nominal,,,,,,,,abcd_ksad501 | ksads2daic_use_only01,mh_y_ksads_ss,,ksads_1_840_t | ksads2_1_790_t,ksads2_1_790_y,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_y_ksads,,,,,,mh_y_ksads__dep__mdd__pres_dx,mh_y_ksads_dep_0042,participant_id | session_id,,,,42
0.562,mh_y_ksads__dep__mdd__past_dx,Diagnosis: Major depressive disorder (F32.9) - Past [Youth],Core,Mental Health,Mood,Youth,,,mh_y_ksads__dep,KSADS - Depressive Disorders [Youth],,,,,summary score,character,nominal,,,,,,,,abcd_ksad501 | ksads2daic_use_only01,mh_y_ksads_ss,,ksads_1_842_t | ksads2_1_792_t,ksads2_1_792_y,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_y_ksads,,,,,,mh_y_ksads__dep__mdd__past_dx,mh_y_ksads_dep_0041,participant_id | session_id,,,,41
0.56,mh_p_ksads__dep__unspec__past_dx,Diagnosis: Unspecified depressive disorder (F32.9) - Past [Parent],Core,Mental Health,Mood,Parent,,,mh_p_ksads__dep,KSADS - Depressive Disorders [Parent],,,,,summary score,character,nominal,,,,,,,,abcd_ksad01,mh_p_ksads_ss,,ksads_1_847_p,,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__dep__unspec__past_dx,mh_p_ksads_dep_0048,participant_id | session_id,,,,48
0.559,mh_p_ksads__psych__oth__pres_dx,Diagnosis: Other specified psychotic disorder (impairment does not meet full criteria) (F28) - Present [Parent],Core,Mental Health,Psychosis,Parent,,,mh_p_ksads__psych,KSADS - Psychosis [Parent],,,,,summary score,character,nominal,,,,,,,,ksads2daic_use_only_p01,mh_p_ksads_ss,,ksads2_4_808_p,ksads2_4_808_p,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__psych__oth__pres_dx,mh_p_ksads_psych_0060,participant_id | session_id,,,,60
0.549,mh_p_ksads__dep__pdd__oth__pres_dx,"Diagnosis: Other specified depressive disorder, persistent depressive disorder (impairment does not meet full criteria) (F32.8) - Present [Parent]",Core,Mental Health,Mood,Parent,,,mh_p_ksads__dep,KSADS - Depressive Disorders [Parent],,,,,summary score,character,nominal,,,,,,,,ksads2daic_use_only_p01,mh_p_ksads_ss,,ksads2_1_797_p,ksads2_1_797_p,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__dep__pdd__oth__pres_dx,mh_p_ksads_dep_0047,participant_id | session_id,,,,47
